Abbreviation,Meaning,Example
ገ/ሂወትና,ገብረ ሂወትና,ጄ/ል ቶም ራንክ ሌሎችን ብዙ የአሜሪካ ጄኔራሎችን ልዑክ መርተው አስመራ የገቡ መሆናቸው ሲታወቅ ማክሰኞ አስመራ ላይ ያነጋገሯቸውን ጄኔራሎች አስመልክቶ የደረሰን ዜና እንደገለፀው ጄ/ል ስብሃት ኤፍሬም፣ መ/ጄ/ል ኃይሌ ሳሙኤል፣ ሜ/ጄ/ መሀመድ ዑመር ሐሰን ጠዊል፣ ብ/ጄ/ል ከሰተብርሃን ገ/ሂወትና ብ/ጄል ተስፋይ ሐድጉ መሆናቸው ታውቋል።
ገ/ህይወት,ገብረ ህይወት,ከስራ እንዲሰናበቱ የተወሰነባቸው 1. አቶ አበበ ጋሻው - ም/ዋና ሥራ አስፈፃሚ /ቴክኒካል አድቫይዘር/ 2. አቶ ወንድሙ ግርማ - ም/ዋና ሥራ አስፈፃሚ /ቢዝነስ አድቫይዘር/ 3. አቶ ረታ ደሴ - ተ/ም/ዋን ሥ/አስፈፃሚ /ኦፕሬሽንስ/ 4. አቶ ሮቤል ደሬሳ - ዋና ሥራ አስኪያጅ /ብሮድባንድ/ 5. አቶ ሙዑዝ ፀጋዬ - መምሪያ ኃላፊ /ፋይናንስና ቢዝነስ ኮንትሮል/ 6. አቶ ከበደ ገ/ስላሴ - መምሪያ ኃላፊ /ዓለም አቀፍ አገልግሎት/ 7. ወ/ት አበቡ ማሞ - ሲኒየር ኤክስፐርት 8. ዶ/ር ፍስሃ መኩሪያ በቴሌኮሙኑኬሽንና ኢንፎርሜሽን ቴክኖሎጂ ኮሌጅ የቴሌ ኢንጂነሪንግ ዲፓርትመንት ኃላፊ 9. አቶ አንተነህ መኮንን ዋና ክፍል ሥ/አስኪያጅ /የኔትወርክ ፕርፎርማንስና ፕላኒንግ/ 10. ወ/ሮ ንግስት ከበደ - ዋና ክፍል ሥራ አስኪያጅ /ሞባይል ፕላኒንግ እና ቴክኒክ ሳፖርት/ 11. አቶ መንግስቱ ሞላ - ም/ዋና ክፍል ሥራ አስኪያጅ /ኔትዎርክ ፕሮፎርማንስና ፕላኒንግ 12. አቶ ተስፋዬ አዲሴ ዋና ክፍል ሥ/አስኪያጅ /ሞባይል ፊጅናል ኔትዎርክ ቴክኒካል ሰፖርት/ 13. አቶ ታከለ መንገሻ - ተ/ዋና ሥራ አስኪያጅ /ቴሌኮም ኢንጂነሪንግ SBU/ 14. አቶ ብርሃኑ አስፋው - ዋና ክፍል ሥራ አስኪያጅ /የማኔጅመንት አካውንትስ/ 15. አቶ ኤልያስ ተረፈ - ዋና ክፍል ሥራ አስኪያጅ /በትራንስፖርት ከስተመር ሳፖርት/ 16. አቶ መላክ ገ/ህይወት - ዋና ክፍል ሥራ አስኪያጅ /የጌትዌይ ስዊቺንግ/ ናቸው። ተጠያቂ ናቸው የተባሉ የቀድሞ ሃላፊዎች 1. አቶ ተስፋዬ ብሩ - የቀድሞ ዋና ሥራ አስፈፃሚ 2. አቶ አበበ በላይነህ - የቀድሞ ም/ዋና ሥራ አስፈፃሚ /ኮርፖሬት ፕላኒንግና ቢዝነስ ዴቨሎፕመንት/ 3. አቶ አስፋው ሃ/ማርያም - የቀድሞ ዋና ሥራ አስኪያጅ /የኢንፎርሜሽን ቴክኖሎጂ ዳታ አገልግሎት/ 4. አቶ አባይነህ አበበ - የቀድሞ ዋና ሥራ አስኪያጅ /ቴሌኮም አገልግሎት/ 5. አቶ ታዬ ከበደ - የቀዶ ዋ ሥራ አስኪያጅ /ቴሌኮም ኔትወርክ/ ናቸው።
ገ/ልዑል,ገብረ ልዑል,የጠ/ሚ/ር መለስ ዜናዊ እናት ወ/ሮ አለማሽ ገ/ልዑል ባደረባቸው ሕመም በሆስፒታል በተመላላሽነት ሲታከሙ ቆይተው ትናንት አረፉ።
ገ/መስቀል,ገብረ መስቀል, 7/ ባህታዊ ገ/መስቀል በነበሩበት ዋሻ ለሶስት ጊዜ ዳዊት የደገመ፣ እስከሰባት ትውልድ ድረስ ይማራል በማለት እግዚአብሔር ለባህታዊ እንደነገራቸው፣
ገ/መድህን,ገብረ መድህን, «ከክንፈ ገ/መድህን ጋር የነበረኝን ወዳጅነት ከአሁኑ ባለሥልጣናት ጋር መመስረት አልቻልኩም» ፕ/ር መስፍን ወ/ማርያም
ገ/መድኅን,ገብረ መድኅን,እነዚህ የቀድሞው የአየር ኃይሉ ከፍተኛ መኮንኖች በአሁኑ ሰዓት በአስከፊ ሁኔታ ውስጥ መሆናቸውን የጠቀሰው የድርጅቱ መግለጫ ከዚህ ቀደም ወደ ኬንያ እና ኡጋንዳ የኮበለሉት ኮሎኔል ደሳለኝ መብራቴ እና መሰሎቻቸው ከስደት ዓለም ተይዘው በመምጣት ወደ እስር ቤት እንደተወረወሩ ተነግሯል። በአሁኑ ሰዓት በእሥር ላይ ይገኛሉ የተባሉት የአየር ኃይሉ አባላት ብ/ጄ ተሻለ ዘውዴ፣ ብ/ጄ አሸናፊ ገ/ፃዲቅ፣ ብ/ጄ መስፍን ኃይሌ፣ ኮሎኔል ግዛው፣ ኮ/ል ተካ መኮንን ኮ/ሌ ብርሃኑ ከበደ፣ ኮ/ል ብርሃኑ ውብነህ፣ ኮ/ል አስማረ ጌታሁን፣ ኮ/ል ሉል ገ/መድኅን፣ ኮ/ል /ጥላሁን ነብሮ፣ ኮ/ል ግርማ አስፋው፣ ኮ/ል ካሣዬ ክፍሌ ኮ/ል በለጠ ወንድሙ፣ ኮ/ል ደሣለኝ መብራቴ፣ ኮ/ል ጥግነህ ወ/ጊዮርጊስ፣ ኮ/ል አሥራት ተካልኝ፣ ኮ/ል ጥላሁን በዛብህ፣ ኮ/ል ሰለሞን ከበደ፣ ሌ/ኮ ለማ ተካልኝ፣ ሌ/ኮ በቀለ ዘገየና ሌ/ኮ እምናውቀው ማሞ መሆናቸውን ያመለከተው የድርጅቱ መግለጫ በአየር ኃይሉ አባላት ይፈቱ ለጠ/ሚ/ር መለስ ዜናዊ በፋክስ ቁጥር 251-1-552020 ተደጋጋሚ እሮሮዎች ይቀርቡላቸው ዘንድ ተማጽኖውን አቅርቧል።
ገ/ሚካኤል,ገብረ ሚካኤል,በእጩ ኤጲስ ቆጶስነት ምክንያት ሥራ አስኪያጅነቱን በለቀቁትና በአሁኑ ሰዓት ግን ከሁለቱም ሳይሆኑ ለመኪና አደጋ ተጋልጠው በሚገኙት አባ ገ/ሚካኤል በየነ እግር እንዲተኩ በፓትርያርኩ ፈቃድ የሥራ አስኪ ያጅነቱ ሥልጣን የተሰጣቸው፣ የቀድሞ የአራዳ ጊዮርጊስ ቤተ ክርስቲያን አስተዳዳሪ የነበሩት መ/ገ/አባ ኃ/ማርያም፣ የአባ ጳውሎስን ፈቃድ ለመሙላት ሲሉ በስንት የአማላጅ ርብርብ በተሰጣቸው የሥራ አስኪያጅነት ሥራ ለመሥራት ፈቃደኛ ቢሆኑም፣ የፓትርያርኩ የእህት ልጅ አቶ ያሬድና ግብረአበሮቹ ግን የሥራ አስኪያጅነቱ ሥልጣን ለመ/ገ/አባ ኃ/ማርያም መሰጠት እንደሌለበት ብዙ መከላከልና የማክሸፍ ጥረት አድርገውባቸው እንደነበር ከቤተ ክህነቱ አካባቢ የደረሰን ዜና ጠቁሟል።
ገ/ማሪም,ገብረ ማሪም,ለልዩ ዐቃቤ ሕግ የተፃፈው ይኼው የአቤቱታ ማመልከቻ ቃላቸውን የተቀበለው የልዩ ዐቃቤ ሕግ አግባብ ላለው ፍ/ቤት የምርመራ መዝገባቸውን እንዲያቀርና የታሥሰርበትን ጉዳይ እንዲያውቁ፤ ካልሆነም በወ/መ/ሕግ/ሥ/ሥ ቁጥር 64 መሠረት የዋስ መብታቸው ተጠብቆላቸው ክስም የሚያስመሠርት ጉዳይ ካለው ውጪ ሆነው መከራከር እንዲችሉ ለሲዳማ ዞን ማረሚያ ቤት አስቸኳይ ትዕዛዝ እንዲፃፍላቸው ጠይቀዋል። ከበደ ኃ/ገብርኤል፣ ወ/ዮሐንስ አንዬ፣ ሠይድ አመዴ፣ ሐጐስ አበራ፣ ውብዓለም ጥሩነህ፣ ሰለሞን አሸንጐ፣ አቡ ገ/ማሪም፣ ኢዮብ ባልቻ፣ ረዘነ ተ/እግዚ፣ ብርሃኑ አባተ፣ ተፈራ ዋጄቦ፣ ሂራ ሂር ቦሮ፣ እሥራኤል አኩዬ፣ ወ/ሥላሴ ሴዳሞ፣ ዳንሴ ምትኩ፣ መንግሥቱ ጥላሁን፣ መሕዬ ይመር፣ መሰለ ገ/ጊዮርጊስ፣ ለገሠ ቡሌ፣ አስናቀ ደጀኔ፣ ቦኩ ኩማሎ፣ ገብሬ የኖረ፣ የሃምሳ አለቃ ብርሃኑ ላቀው፣ አስፋው አወኖ፣ ኃ/ገብርኤል ደቀቦ፣ ምንትዋብ አየለ፣ ብርነሽ ተመስገን፣ ማርታ ወቴ፣ በቀለች መገኔ፣ የአምሣ አለቃ አልማዝ ኃይሌ፣ የሺ አዘነ፣ እታበዛሁ የማነ አብ፣ ዓለም እሸት ሽብሩ፣ እታበዛሁ ከበደ፣ ታደለች ሀብቴ፣ አበራሽ በየነ፣ አስናቀች መንገሻ፣ ወርቄ ለማ፣ የሚባሉት እነዚህ ኢትዮጵያውያን የተያዙበት ጉዳይ በይፋ ሳይገለፅላቸው የቆዩ ሲሆን ቃላቸውን የተቀበላቸው ልዩ ዐቃቤ የቀይ ሽብር ተጠርጣሪዎችን ጉዳይ እንዲመለከት ሥልጣን የተሰጠው መንግሥታዊ አካል በመሆኑ የእነዚህ እስረኞች ጉዳይ ከዚሁ ቀይ ሽብር ተጠርጣሪዎችን ጉዳይ ከዚሁ ቀይ ሽብር ከሚባለው ነገር ጋር ሳይያዝ እንዳልቀረ ይገመታል።
ገ/ማሪያም,ገብረ ማሪያም,ሻዕቢያ በፖለቲካ ተፅዕኖ ምክንያት እየተማረሩ ያሉትን የኢትዮጵያ ፓይለቶችን ከሀገር እየከዱ እንዲቀላቀሉት ለማባበል በቀድሞ መንግስት ያገለገሉ አብራሪዎች የተወሰነ ጊዜ ብቻ አገልግሎት እየሰጡ ወደ ፈለጉት ሀገር መሻገር እንዲችሉ ፈቃደኝነቱን እያሳየ ነው። በዚህ መልኩ ኤርትራ ውስጥ የተወሰነ አገልግሎት ሰጥተው ወደ አሜሪካ ከተሻገሩት አብራሪ መኮንኖች መሃል ከመ/አለቃ ክንዴ ዳምጤ ሌላ ሌ/ኮ/ል ግርማ ጫላ እንደሚገኙበት የሚገልፁት ባልዳረባችን ያነጋገራቸው ውስጥ አዋቂዎች በአሁኑ ሰአት ቢያንስ 4 አብራሪዎችና አንድ ቴክኒሽያን ኤርትራ ይገኛሉ። እነሱም የኢትዮጵያ አርበኞች ግንባር ሊቀመንበር የሆኑት ኮ/ል ታደሰ ሙሉነህ ሌ/ኮ/ል ማርቆስና ማስተር ቴክኒሻን ግርማ ለማ እንዲሁም ባለፈው ጥር 28/95 ከመቀሌ ኤል 39 የበረራ አውሮፕላን ይዘው አስመራ የገቡት ሻምበል ተሾመ ተንኮሉና መ/አ ሳሙኤል ገ/ማሪያም ናቸው። ቀድሞ የድሬደዋ ቤዝ አዛዥ የነበሩት ሌ/ኮል ዋጋሪ ገመቹ ደግሞ ኤርትራን ጨምሮ በጐረቤት አገራት ውስጥ ይንቀሳቀሳሉ ነው የሚባለው።
ገ/ማርያም,ገብረ ማርያም,ይህ ከ1989 ዓ.ም ጀምሮ የደብሩ አስተዳዳሪ በነበሩት በአባ ገብረ ሕይወት በቀለ እና የሰበካ ጉባዔ ም/ሊ/መንበር መምህር ልዑል ገ/ማርያም አማካኝነት ለአስፋልት ማሰሪያ በሚል ሽፋን ከምዕመናን የተገኘውን ብር 5486.00 (አምስት ሺህ አራት መቶ ሰማንያ ስድስት ብር) በመመዝበሩ የሁከት አውድማ ከሆነበት ጊዜ ጀምሮ እስካሁን በቦታው ሰላምና መፍትሔ፣ በእውነት ላይ ተመስርቶ ዳኝነት የሚሰጥ ባለሥልጣን መጥፋቱን ዘገባዎች አመልክተዋል።
ገ/ማካኤል,ገብረ ማካኤል,የደብሩ ገንዘብ ብር 10፣000 በአስተዳዳሪው በማን አለብኝነት ባክኖ መቅረት የሌለበት መሆኑን የተገነዘቡ ሰራተኞች ለአዲስ አበባ ሀገረ ስብከት ጽ/ቤት አመልክተው ሀገረ ስብከቱ በቁጥር 1188/40/90 የካቲት 30 ቀን 1990 በተፃፈ ትዕዛዝ አራት ጉዳዩን የሚያጣሩ የሀገረ ስብከቱ ሰራተኞች ተልከው በተገቢው መንገድ በማጣራት፣ አስተዳዳሪውም አሥር ሺውን ብር ስለመቀበላቸው አምኖ ከፈረሙ በኋላ ኦዲተሮች ያጣሩት ማረጋገጫ በነበሩት የሀገረ ስብከቱ ሥራ አስኪያጅ አባ ገ/ማካኤል በየነ ተድበስብሶ እንደቀረም ተገልጿል።
ገ/ሥላሴ,ገብረ ሥላሴ, አትሌት ምሩፅ ይፍጠርና የአትሌት ኃይሌ ወንድም ተክኤ ገ/ሥላሴ
ገ/ስላሴ,ገብረ ስላሴ,ከስራ እንዲሰናበቱ የተወሰነባቸው 1. አቶ አበበ ጋሻው - ም/ዋና ሥራ አስፈፃሚ /ቴክኒካል አድቫይዘር/ 2. አቶ ወንድሙ ግርማ - ም/ዋና ሥራ አስፈፃሚ /ቢዝነስ አድቫይዘር/ 3. አቶ ረታ ደሴ - ተ/ም/ዋን ሥ/አስፈፃሚ /ኦፕሬሽንስ/ 4. አቶ ሮቤል ደሬሳ - ዋና ሥራ አስኪያጅ /ብሮድባንድ/ 5. አቶ ሙዑዝ ፀጋዬ - መምሪያ ኃላፊ /ፋይናንስና ቢዝነስ ኮንትሮል/ 6. አቶ ከበደ ገ/ስላሴ - መምሪያ ኃላፊ /ዓለም አቀፍ አገልግሎት/ 7. ወ/ት አበቡ ማሞ - ሲኒየር ኤክስፐርት 8. ዶ/ር ፍስሃ መኩሪያ በቴሌኮሙኑኬሽንና ኢንፎርሜሽን ቴክኖሎጂ ኮሌጅ የቴሌ ኢንጂነሪንግ ዲፓርትመንት ኃላፊ 9. አቶ አንተነህ መኮንን ዋና ክፍል ሥ/አስኪያጅ /የኔትወርክ ፕርፎርማንስና ፕላኒንግ/ 10. ወ/ሮ ንግስት ከበደ - ዋና ክፍል ሥራ አስኪያጅ /ሞባይል ፕላኒንግ እና ቴክኒክ ሳፖርት/ 11. አቶ መንግስቱ ሞላ - ም/ዋና ክፍል ሥራ አስኪያጅ /ኔትዎርክ ፕሮፎርማንስና ፕላኒንግ 12. አቶ ተስፋዬ አዲሴ ዋና ክፍል ሥ/አስኪያጅ /ሞባይል ፊጅናል ኔትዎርክ ቴክኒካል ሰፖርት/ 13. አቶ ታከለ መንገሻ - ተ/ዋና ሥራ አስኪያጅ /ቴሌኮም ኢንጂነሪንግ SBU/ 14. አቶ ብርሃኑ አስፋው - ዋና ክፍል ሥራ አስኪያጅ /የማኔጅመንት አካውንትስ/ 15. አቶ ኤልያስ ተረፈ - ዋና ክፍል ሥራ አስኪያጅ /በትራንስፖርት ከስተመር ሳፖርት/ 16. አቶ መላክ ገ/ህይወት - ዋና ክፍል ሥራ አስኪያጅ /የጌትዌይ ስዊቺንግ/ ናቸው። ተጠያቂ ናቸው የተባሉ የቀድሞ ሃላፊዎች 1. አቶ ተስፋዬ ብሩ - የቀድሞ ዋና ሥራ አስፈፃሚ 2. አቶ አበበ በላይነህ - የቀድሞ ም/ዋና ሥራ አስፈፃሚ /ኮርፖሬት ፕላኒንግና ቢዝነስ ዴቨሎፕመንት/ 3. አቶ አስፋው ሃ/ማርያም - የቀድሞ ዋና ሥራ አስኪያጅ /የኢንፎርሜሽን ቴክኖሎጂ ዳታ አገልግሎት/ 4. አቶ አባይነህ አበበ - የቀድሞ ዋና ሥራ አስኪያጅ /ቴሌኮም አገልግሎት/ 5. አቶ ታዬ ከበደ - የቀዶ ዋ ሥራ አስኪያጅ /ቴሌኮም ኔትወርክ/ ናቸው።
ገ/ተንሳይ,ገብረ ተንሳይ,በሌላም በኩል የኢህአዴግ መንግስት አሁን የወሰደው ርምጃ የኤርትራን አቋምና አጠቃላይ ሁኔታ በመገምገም ነው የሚሉ ወገኖችም አሉ፤ እነዚህ ወገኖች እንደሚሉት የኤርትራ መንግስት ያለበትን ውጥረት ለማስተንፈስ እንዲሁም ደረሰብኝ ያለውን ውርደት ለመቀበል ጦርነት ውስጥ መግባቱ አይቀርም። በኢትዮጵያ በኩል ያለፈውን ጦርነት በዋናነት የመሩትና የውጊያ ዕቅድ የነደፉት ሌ/ጄኔራል ጻድቃን ገ/ተንሳይ ከሰራዊቱ መባረራቸው፣ አቶ ስዬ አብርሃ መታሰራቸው ለሻዕቢያ የልብ ልብ ሳይሰጠው እንዳልቀረም እነዚሁ ወገኖች ይገልፃሉ፤ ስለሆነም ሻዕቢያ ጦርነት መክፈቱ ስለማይቀር ኢትዮጵያ የጦርነቱ ምክንያት ሆኖ እንዳትጠቀስ የኢህአዴግ መንግስት የአሁኑን እርምጃ ወስዷል ይላሉ፤ ሆኖም የጠ/ሚ/ሩን መግለጫ በጥልቀት የተከታተሉ፣ አቋማቸውንና ብሔራዊ ስሜታቸውን የመረመሩ ወገኖች የቀረበው ምክንያት የሚያስኬድ ቢሆንም ከጠ/ሚ/ር መለስ ብሔራዊ ስሜት አንፃር አጠራጣሪ ግምገማ ነው ይላሉ።
ገ/ትንሳይ,ገብረ ትንሳይ,በአሁኑ ወቅት በኢሕአዴግ ሰራዊት ውስጥ በተለይ በመከላከያ አመራር ደረጃ ላይ የሚገኙ ባለሥልጣናት ድምጻቸውን አጥፍተዋል። የመከላከያ ሚ/ሩ አቶ ተፈራ ዋልዋ እና ኤተማዦር ሹሙ ሜ/ጄ/ል ፃድቃን ገ/ትንሳይ በምን ሁኔታ ላይ እንደሚገኙ የታወቀ ነገር የለም። አሁን በድንገት ወደ ጦር ሰራዊቱ መግባታቸው እና ለጦሩ ሞራል አዎንታዊ ሚና ይጫወታሉ የተባሉት ብ/ጄ/ል ሳሞራ የኑስም ቢሆኑ፣ አንዳንድ ትችት ሲቀርብባቸው ቆይቷል።
ገ/አምላክ,ገብረ አምላክ," ""ከባድ ስህተት ፈጽመናል- የሕዝብ ፍርድ ወይም ይቅርታ እንቀበላለን"" ዓለምሰገድ ገ/አምላክ"
ገ/አብ,ገብረ አብ,የኤርትራ መንግሥት ቃል አቀባይ አቶ የማነ ገ/አብ
ገ/እግዚአብሔር,ገብረ እግዚአብሔር,ከካህሳይ ገ/እግዚአብሔር
ገ/ኪዳን,ገብረ ኪዳን,አሁን ባለው ሁኔታ የጠ/ሚ/ር መለስ ቡድን አሸንፎ የወጣ ቢመስልም የኦዲት ኮሚሽኑ የእነ አቶ መለስን ርምጃ ከማውገዝ አልተቆጠበም። የትግራና የአዲስ አበባ የሕወሓት ካድሬዎች ለኦዲት ኮሚሽኑ የሰጡት ማሳሰቢያም ማስፈራሪያ እንጂ ሕግን ያጣቀሰ ባለመሆኑ በሕወሓት ትግል ረዥም ዓመታት የቆዩት የኦዲት ኮሚሽን አባላት እነሕቡር ገ/ኪዳን በመግለጫው ደንብረው ውሳኔያቸውን ይቀለብሳሉ ተብሎ አይገመትም። ይህ ከሆነ ደግሞ በጠቅላላው ጉባዔ ወቅት እነአቶ ስዬ ሕጋዊ መከራከሪያ ስለሚኖራችው ይህም በኦዲት ኮሚሽኑ ሪፖርት ጭምር ስለሚደገፍ ቢያን ወደማዕከላዊ ኮሚቴ አባልነታቸው ይመለሳሉ ተብሎ ይታመናል። እነሱ ከተመለሱ ደግሞ በሚያነሷቸው ጥያቄዎች የእነመለስ ቡድን በይበልጥም አቶ መለስ ጥያቄ ውስጥ ይገባሉ። አቶ መለስ ሁኔታው እዚያ ሳይደርስ ግለሰቦችን በማሰርና በመሳሰሉት ለማግለል ቢሞክሩ የሚያስከትለው ውጤት የከፋ መሆኑን ታዛቢዎች ይናገራሉ። እነዚህ ጫፍ ላይ የነበሩትና ትግሉን ለረዥም ዓመታት የመሩ ሰዎችን እንደታምራት ላይኔ ማሰር የማይቻል መሆኑን ታዛቢዎች ይገልፃሉ። እነዚህ የተገለሉት የሕወሓት ማዕከላዊ ኮሚቴ አባላት የድርጅቱን ንብረትና ኃላፊነታቸውን እንዲያስረክቡ በይፋ የተገለፀላቸው ከመሆኑም በላይ እንቅስቃሴያቸው የተገደበ ቢሆንም በተከታዮቻቸው አማካይነት የእነርሱን ተቆርቋሪነት የሌላውን ወገን ከሐዲነት የሚያሳይ ሥራ ላይ በመስራት ላይ መሆናቸውን አንዳንድ ምንጮች ይገልፃሉ። ስለዚህ እከሌ ያሸንፋል ብሎ ከወዲሁ በእርግጠኝነት ለመናገር አስቸጋሪ ከመሆኑም በላይ ምን ሊከተል እንደሚችልም ከወዲሁ መተንበይ እንደሚከብድ ታዛቢዎች ይገልፃሉ።
ገ/ክርስቶስ,ገብረ ክርስቶስ,በአሜሪካ የኢትዮጵያ አምባሳደር አቶ ብርሃኔ ገ/ክርስቶስ
ገ/ክርስቶስና,ገብረ ክርስቶስና,በሌላ በኩል በዋሽንግተን አንድ ኢትዮጵያ ድርጅት 1500 ያህል ኢትዮጵያውያንን ሰብስቦ በአሜሪካ የኢትዮጵያ አምባሳደር ብርሃኔ ገ/ክርስቶስና የኢትዮጵያ ም/የውጪ/ጉ/ሚ/ር ዶ/ር ተቀዳ ዓለሙ በተገኙበት የሻዕቢያን መንግሥት አውግዘው የፖለቲካ ልዩነቶችን ወደ ጐን አድርገው ከኢትዮጵያ መንግሥት ጋር ለመሠለፍ በስምምነት አፅድቀዋል። ይህ በእንዲህ እንዳለ በዌልስ ዋና ከተማ በካርዱፍ የተሰበሰቡት የአውሮፓ ሕብረት መሪዎች ግጭቱ በሰላም ይፈታ ዘንድ ተማፅነዋል።
ገ/ዮሐንስ,ገብረ ዮሐንስ,የግሪክ ኦ/ቤተ- ክርስቲያን ለኢ/ኦ/ተ/ቤተ- ክርስቲያን መነኮሳትና ካህናት ነፃ የመንፈሳዊ ትምህርት ዕድል በመስጠት ስታስተምርና ስታሰለጥን መቆየቷም የሚታወስ ነው። በጳጳስ ደረጃም ባይሆን በካህን ደረጃ መድባ በግሪክ የሚኖሩ ኢትዮጵያውያን መንፈሳዊ አገልግሎት እንዲያገኙ ስታደርግ ትቆይ እንጂ በቅርብ ጊዜ ግን የኢትዮጵያ ኦ/ተ/ቤተ- ክርስቲያን በቅርቡ ከሾመቻቸው ጳጳሳት መካከል ለ16 ዓመታት ያህል በከፍተኛ መንፈሳዊ ትምህርትና ክህነታዊ አገልግሎት ላይ የቆዩትን አቡነ ዮሐንስ (ቆመስ አባ ገ/ዮሐንስ) መንበረ ጵጵስናቸውን አቴንስ (ግሪክ) በማድረግ መድባ ነበር።
ገ/ጊዮርጊስ,ገብረ ጊዮርጊስ,ለልዩ ዐቃቤ ሕግ የተፃፈው ይኼው የአቤቱታ ማመልከቻ ቃላቸውን የተቀበለው የልዩ ዐቃቤ ሕግ አግባብ ላለው ፍ/ቤት የምርመራ መዝገባቸውን እንዲያቀርና የታሥሰርበትን ጉዳይ እንዲያውቁ፤ ካልሆነም በወ/መ/ሕግ/ሥ/ሥ ቁጥር 64 መሠረት የዋስ መብታቸው ተጠብቆላቸው ክስም የሚያስመሠርት ጉዳይ ካለው ውጪ ሆነው መከራከር እንዲችሉ ለሲዳማ ዞን ማረሚያ ቤት አስቸኳይ ትዕዛዝ እንዲፃፍላቸው ጠይቀዋል። ከበደ ኃ/ገብርኤል፣ ወ/ዮሐንስ አንዬ፣ ሠይድ አመዴ፣ ሐጐስ አበራ፣ ውብዓለም ጥሩነህ፣ ሰለሞን አሸንጐ፣ አቡ ገ/ማሪም፣ ኢዮብ ባልቻ፣ ረዘነ ተ/እግዚ፣ ብርሃኑ አባተ፣ ተፈራ ዋጄቦ፣ ሂራ ሂር ቦሮ፣ እሥራኤል አኩዬ፣ ወ/ሥላሴ ሴዳሞ፣ ዳንሴ ምትኩ፣ መንግሥቱ ጥላሁን፣ መሕዬ ይመር፣ መሰለ ገ/ጊዮርጊስ፣ ለገሠ ቡሌ፣ አስናቀ ደጀኔ፣ ቦኩ ኩማሎ፣ ገብሬ የኖረ፣ የሃምሳ አለቃ ብርሃኑ ላቀው፣ አስፋው አወኖ፣ ኃ/ገብርኤል ደቀቦ፣ ምንትዋብ አየለ፣ ብርነሽ ተመስገን፣ ማርታ ወቴ፣ በቀለች መገኔ፣ የአምሣ አለቃ አልማዝ ኃይሌ፣ የሺ አዘነ፣ እታበዛሁ የማነ አብ፣ ዓለም እሸት ሽብሩ፣ እታበዛሁ ከበደ፣ ታደለች ሀብቴ፣ አበራሽ በየነ፣ አስናቀች መንገሻ፣ ወርቄ ለማ፣ የሚባሉት እነዚህ ኢትዮጵያውያን የተያዙበት ጉዳይ በይፋ ሳይገለፅላቸው የቆዩ ሲሆን ቃላቸውን የተቀበላቸው ልዩ ዐቃቤ የቀይ ሽብር ተጠርጣሪዎችን ጉዳይ እንዲመለከት ሥልጣን የተሰጠው መንግሥታዊ አካል በመሆኑ የእነዚህ እስረኞች ጉዳይ ከዚሁ ቀይ ሽብር ተጠርጣሪዎችን ጉዳይ ከዚሁ ቀይ ሽብር ከሚባለው ነገር ጋር ሳይያዝ እንዳልቀረ ይገመታል።
ገ/ፃዲቅ,ገብረ ፃዲቅ,እነዚህ የቀድሞው የአየር ኃይሉ ከፍተኛ መኮንኖች በአሁኑ ሰዓት በአስከፊ ሁኔታ ውስጥ መሆናቸውን የጠቀሰው የድርጅቱ መግለጫ ከዚህ ቀደም ወደ ኬንያ እና ኡጋንዳ የኮበለሉት ኮሎኔል ደሳለኝ መብራቴ እና መሰሎቻቸው ከስደት ዓለም ተይዘው በመምጣት ወደ እስር ቤት እንደተወረወሩ ተነግሯል። በአሁኑ ሰዓት በእሥር ላይ ይገኛሉ የተባሉት የአየር ኃይሉ አባላት ብ/ጄ ተሻለ ዘውዴ፣ ብ/ጄ አሸናፊ ገ/ፃዲቅ፣ ብ/ጄ መስፍን ኃይሌ፣ ኮሎኔል ግዛው፣ ኮ/ል ተካ መኮንን ኮ/ሌ ብርሃኑ ከበደ፣ ኮ/ል ብርሃኑ ውብነህ፣ ኮ/ል አስማረ ጌታሁን፣ ኮ/ል ሉል ገ/መድኅን፣ ኮ/ል /ጥላሁን ነብሮ፣ ኮ/ል ግርማ አስፋው፣ ኮ/ል ካሣዬ ክፍሌ ኮ/ል በለጠ ወንድሙ፣ ኮ/ል ደሣለኝ መብራቴ፣ ኮ/ል ጥግነህ ወ/ጊዮርጊስ፣ ኮ/ል አሥራት ተካልኝ፣ ኮ/ል ጥላሁን በዛብህ፣ ኮ/ል ሰለሞን ከበደ፣ ሌ/ኮ ለማ ተካልኝ፣ ሌ/ኮ በቀለ ዘገየና ሌ/ኮ እምናውቀው ማሞ መሆናቸውን ያመለከተው የድርጅቱ መግለጫ በአየር ኃይሉ አባላት ይፈቱ ለጠ/ሚ/ር መለስ ዜናዊ በፋክስ ቁጥር 251-1-552020 ተደጋጋሚ እሮሮዎች ይቀርቡላቸው ዘንድ ተማጽኖውን አቅርቧል።
